Source,Text,Label
https://www.groupe-ldlc.com/document-reference/,"Grâce à ce partenariat, Slood est en mesure de proposer un service de retouche, de réparation et d’upcycling à domicile et par envoi postal à ses clients.",1
https://aubay.com/wp-content/uploads/2022/04/AUB_URD2021_FR_22_04_13_MEL2.pdf,"Le Campus Manager organise divers événements en partenariat avec les écoles : forums, jobs dating, simulations d’entretiens.",0
https://groupe-rocher.com/sites/default/files/2024-01/GROUPE%20ROCHER%20%20RAPPORT%20D%27ENGAGEMENT%202022%20FR_0.pdf,"Depuis l’installation des chaudières à bois, 14 280 tonnes d’énergie fossile ont été économisées.",0
https://www.triomphe-securite.fr/notre-engagement-rse/,"Dans un objectif d’innovation et d’amélioration constante, nous investissons en continu sur tous les aspects sociaux et environnementaux qui font de notre Groupe un acteur engagé en faveur de son environnement, résolument tourné vers un avenir durable.",1
https://www.triomphe-securite.fr/notre-engagement-rse/,"politique de responsabilité sociétale forte, qui fait partie de notre dimension patrimoniale, pour concilier performance économique, équité sociale et respect de l’environnement.",1
https://www.saretec.fr/sites/default/files/2022-05/Rapport%20DPEF%202021.pdf,"La périodicité et le déroulement des négociations sociales au sein des sociétés dotées de représentants syndicaux respectent les obligations légales (négociations sur la rémunération, le temps de travail et la valeur ajoutée dans l’entreprise, sur l’égalité professionnelle entre les femmes et les hommes, etc.).",0
https://www.brl.fr/fr/dpef-groupe,Limiter l’impact de nos activités sur l’environnement et contribuer à la transition écologique et énergétique,1
https://www.loreal-finance.com/system/files/2023-03/LOREAL_Document_Enregistrement_Universel_2022_fr.pdf,Le marché cosmétique mondial est un marché de plus de 250 milliards d’euros (1) particulièrement solide et démontrant sa forte capacité de résilience dans un contexte géopolitique et économique agité.,0
https://aubay.com/wp-content/uploads/2022/04/AUB_URD2021_FR_22_04_13_MEL2.pdf,"Aubay est une entreprise française des services du numérique (ESN) fondée par Christian Aubert en 1998, qui est, à l’heure actuelle, présente sur le territoire européen.",0
https://aubay.com/wp-content/uploads/2022/04/AUB_URD2021_FR_22_04_13_MEL2.pdf,"Nous atteignons un chiffre d’affaires record de 470,6 M€.",0
https://www.digital-mag.fr/manomano-presente-ses-objectifs-de-reduction-de-gaz-a-effet-de-serre/,ManoMano... annonce la validation de ses objectifs de réduction des émissions de gaz à effet de serre par la Science Based Targets initiative (SBTi).,0
https://www.clariane.com/sites/default/files/2023-06/urd-2022-28-april-2023.pdf,"Définition d’une feuille de route bas carbone pour les consommations énergétiques des bâtiments, avec un objectif de -40% d’émissions carbone en intensité à 2030",1
https://www.brl.fr/fr/dpef-groupe,Le défi du changement climatique est une préoccupation au cœur des métiers du Groupe BRL.,1
https://www.naturopera.com/notre-usine,Ce projet a été financé par le Gouvernement dans le cadre du plan de Relance.,0
https://www.biocoop.fr/actualites-bio/developpement-durable-on-l-a-dit-on-le-fait?srsltid=AfmBOor770RXzIHRNIY-eBPg6tIvaxVflw1kHWcCGpi2BPI75EnfQnvV,"7,6 M€ dans le soutien à la conversion bio et aux investissements des transformateurs.",0
https://www.triomphe-securite.fr/wp-content/uploads/2023/08/rapportRSE-GTS-2022-DEF-site.pdf,Le GROUPE TRIOMPHE SÉCURITÉ s’engage à l’échelle du numérique dans une politique “zéro appareil jeté”,1
https://www.saretec.fr/sites/default/files/2022-05/Rapport%20DPEF%202021.pdf,"Publié par l’Observatoire de la sécurité des foyers (OSF), il contribue à sensibiliser le grand public aux risques domestiques et à leur prévention.",0
https://www.img.caisse-epargne.fr/app/uploads/sites/3/2023/11/08184835/brochure-garanties-dassurances-et-dassistance-cartes-visa-clients-version-interactive.pdf,Un médecin du Service d’Assistance de la Carte Visa du porteur se met en relation avec les médecins locaux qui ont reçu le porteur ou un membre de sa famille.,0
https://unglobalcompact.org/participation/report/cop/active/461854,Nous pensons également à nos « clients » internes et nous portons une attention particulière à la satisfaction de nos collaborateurs ainsi qu’à leur santé et sécurité tout en protégeant l’environnement.,1
https://ortec-group.com/wp-content/uploads/2024/05/DPEF_2023_DEF_WEB-S_PAP.pdf,"Le respect de l’environnement : il est au cœur de nos métiers en tant qu’acteur de premier plan au service des industries, des collectivités et des particuliers.",1
https://www.loreal-finance.com/system/files/2023-03/LOREAL_Document_Enregistrement_Universel_2022_fr.pdf,"En 2022, L'Oréal a reçu le Grand Prix de la Raison d'Être et des engagements ESG lors de la cérémonie des Grands Prix de l'Assemblée Générale et de la Mixité 2022, organisée par l'Institut du Capitalisme Responsable.",0
https://aubay.com/wp-content/uploads/2022/04/AUB_URD2021_FR_22_04_13_MEL2.pdf,"En 2021, Aubay a renouvelé sa certifi cation sur l’Île-de-France sur trois ans, en maintenant l’objectif d’étendre le périmètre de certification sur Nantes en 2022.",0
https://www.biocoop.fr/actualites-bio/developpement-durable-on-l-a-dit-on-le-fait?srsltid=AfmBOor770RXzIHRNIY-eBPg6tIvaxVflw1kHWcCGpi2BPI75EnfQnvV,"Saisonnalité des fruits et légumes, refus des serres chauffées, des transports par avion et des OGM.",0
https://www.ceresia.fr/storage/2023/02/RA-CERESIA-VN.pdf,Prendre en compte le respect de l’environnement et de la biodiversité tout au long du cycle de vie des productions.,1
https://cdn-group.bnpparibas.com/uploads/file/bnpparibas_2022_deu_chap7_resume_fr.pdf,Il ne fait plus de financement de nouveau projet pétrolier depuis 2016.,0
https://totalenergies.com/system/files/documents/2024-03/totalenergies_document-enregistrement-universel-2023_2023_fr_pdf.pdf,"Les installations industrielles de TotalEnergies participent ainsi au marché des quotas d’émission de CO2 (EU-ETS), ce qui pourrait entraîner une augmentation des coûts.",0
https://www.img.caisse-epargne.fr/app/uploads/sites/3/2023/11/08184835/brochure-garanties-dassurances-et-dassistance-cartes-visa-clients-version-interactive.pdf,"Si un Assuré fait l’objet de poursuites judiciaires en cas d’infraction non intentionnelle à la législation du pays dans le lequel il se trouve Le Service d’Assistance de la Carte Visa avance le montant de la caution pénale, avance les honoraires d’avocat et prend en charge le montant réel des honoraires d’avocat.",0
https://aubay.com/wp-content/uploads/2022/04/AUB_URD2021_FR_22_04_13_MEL2.pdf,"Aubay bénéfice aujourd’hui d’une forte présence européenne avec une implantation comptant 17 bureaux répartis dans 7 pays : La France, l’Italie, l’Espagne, le Portugal, le Luxembourg, la Belgique et le Royaume-Uni.",0
https://www.leroymerlin.fr/complement-information-sur-methode-de-calcul-du-home-index.html,Les emballages recyclables en mono-matériau ou sans plastique obtiennent les meilleurs scores.,0
https://ortec-group.com/wp-content/uploads/2024/05/DPEF_2023_DEF_WEB-S_PAP.pdf,"Notre Groupe, au travers de chacun de nos collaborateurs, s’engage à respecter les règles en matière d’impact environnemental.",1
https://www.cmacgm-group.com/api/sites/default/files/2023-05/CMA%20CGM_Rapport%20D%c3%a9veloppement%20Durable%202022_DEF%20(1).pdf,"Pour aller encore plus vite dans la décarbonation de l’ensemble de nos activités et accompagner la transition du secteur, nous avons lancé cette année un Fonds Energies doté de 1,5 milliard d’euros sur 5 ans.",1
https://medias.sncf.com/sncfcom/finances/Publications_Groupe/Rapport_financier_annuel_2021_groupe_SNCF.pdf,"Le train est le moyen de transport le plus durable, avec le plus faible impact en émissions de CO2e et autres particules.",1
https://www.krys-group.com/presse/mediatheque/,KRYS GROUP s’engage pour le développement durable de nos territoires.,1
https://www.suez.com/-/media/suez-global/files/publication-docs/pdf-francais/finance/suez-dpef2022_fr.pdf ,"SUEZ permet à ses clients de fournir l’accès à des services d’eau et de déchets, par des solutions résilientes et innovantes.",1
